"FIA_FIB_FIC","Resistance_Drug","count","percentage","Drug"
"FIA","I",1,0.769230769230769,"Ciprofloxacin"
"FIA","R",16,12.3076923076923,"Ciprofloxacin"
"FIA","S",11,8.46153846153846,"Ciprofloxacin"
"No_FIA","R",10,7.69230769230769,"Ciprofloxacin"
"No_FIA","S",92,70.7692307692308,"Ciprofloxacin"
"FIA","R",14,10.7692307692308,"Gentamicin"
"FIA","S",14,10.7692307692308,"Gentamicin"
"No_FIA","I",2,1.53846153846154,"Gentamicin"
"No_FIA","R",1,0.769230769230769,"Gentamicin"
"No_FIA","S",99,76.1538461538461,"Gentamicin"
"FIA","R",16,12.3076923076923,"AmoxiClav"
"FIA","S",12,9.23076923076923,"AmoxiClav"
"No_FIA","R",27,20.7692307692308,"AmoxiClav"
"No_FIA","S",75,57.6923076923077,"AmoxiClav"
"FIB","I",1,0.769230769230769,"Ciprofloxacin"
"FIB","R",21,16.1538461538462,"Ciprofloxacin"
"FIB","S",67,51.5384615384615,"Ciprofloxacin"
"No_FIB","R",5,3.84615384615385,"Ciprofloxacin"
"No_FIB","S",36,27.6923076923077,"Ciprofloxacin"
"FIB","I",1,0.769230769230769,"Gentamicin"
"FIB","R",15,11.5384615384615,"Gentamicin"
"FIB","S",73,56.1538461538462,"Gentamicin"
"No_FIB","I",1,0.769230769230769,"Gentamicin"
"No_FIB","S",40,30.7692307692308,"Gentamicin"
"FIB","R",38,29.2307692307692,"AmoxiClav"
"FIB","S",51,39.2307692307692,"AmoxiClav"
"No_FIB","R",5,3.84615384615385,"AmoxiClav"
"No_FIB","S",36,27.6923076923077,"AmoxiClav"
"FIC","R",16,12.3076923076923,"Ciprofloxacin"
"FIC","S",28,21.5384615384615,"Ciprofloxacin"
"No_FIC","I",1,0.769230769230769,"Ciprofloxacin"
"No_FIC","R",10,7.69230769230769,"Ciprofloxacin"
"No_FIC","S",75,57.6923076923077,"Ciprofloxacin"
"FIC","R",11,8.46153846153846,"Gentamicin"
"FIC","S",33,25.3846153846154,"Gentamicin"
"No_FIC","I",2,1.53846153846154,"Gentamicin"
"No_FIC","R",4,3.07692307692308,"Gentamicin"
"No_FIC","S",80,61.5384615384615,"Gentamicin"
"FIC","R",21,16.1538461538462,"AmoxiClav"
"FIC","S",23,17.6923076923077,"AmoxiClav"
"No_FIC","R",22,16.9230769230769,"AmoxiClav"
"No_FIC","S",64,49.2307692307692,"AmoxiClav"
