"FIA_FIB_FIC","Resistance_Drug","count","percentage","Drug"
"FIA","I",4,0.392927308447937,"Ciprofloxacin"
"FIA","R",142,13.9489194499018,"Ciprofloxacin"
"FIA","S",65,6.38506876227898,"Ciprofloxacin"
"No_FIA","I",2,0.196463654223969,"Ciprofloxacin"
"No_FIA","R",22,2.16110019646365,"Ciprofloxacin"
"No_FIA","S",783,76.9155206286837,"Ciprofloxacin"
"FIA","I",5,0.491159135559921,"Gentamicin"
"FIA","R",45,4.42043222003929,"Gentamicin"
"FIA","S",161,15.8153241650295,"Gentamicin"
"No_FIA","I",9,0.884086444007859,"Gentamicin"
"No_FIA","R",15,1.47347740667976,"Gentamicin"
"No_FIA","S",783,76.9155206286837,"Gentamicin"
"FIA","R",139,13.6542239685658,"AmoxiClav"
"FIA","S",72,7.07269155206287,"AmoxiClav"
"No_FIA","R",155,15.2259332023576,"AmoxiClav"
"No_FIA","S",652,64.0471512770138,"AmoxiClav"
"FIB","I",6,0.589390962671906,"Ciprofloxacin"
"FIB","R",77,7.56385068762279,"Ciprofloxacin"
"FIB","S",522,51.2770137524558,"Ciprofloxacin"
"No_FIB","R",87,8.54616895874263,"Ciprofloxacin"
"No_FIB","S",326,32.0235756385069,"Ciprofloxacin"
"FIB","I",9,0.884086444007859,"Gentamicin"
"FIB","R",37,3.63457760314342,"Gentamicin"
"FIB","S",559,54.9115913555992,"Gentamicin"
"No_FIB","I",5,0.491159135559921,"Gentamicin"
"No_FIB","R",23,2.25933202357564,"Gentamicin"
"No_FIB","S",385,37.8192534381139,"Gentamicin"
"FIB","R",157,15.4223968565815,"AmoxiClav"
"FIB","S",448,44.007858546169,"AmoxiClav"
"No_FIB","R",137,13.4577603143418,"AmoxiClav"
"No_FIB","S",276,27.1119842829077,"AmoxiClav"
"FIC","I",1,0.0982318271119843,"Ciprofloxacin"
"FIC","R",22,2.16110019646365,"Ciprofloxacin"
"FIC","S",174,17.0923379174853,"Ciprofloxacin"
"No_FIC","I",5,0.491159135559921,"Ciprofloxacin"
"No_FIC","R",142,13.9489194499018,"Ciprofloxacin"
"No_FIC","S",674,66.2082514734774,"Ciprofloxacin"
"FIC","I",4,0.392927308447937,"Gentamicin"
"FIC","R",3,0.294695481335953,"Gentamicin"
"FIC","S",190,18.664047151277,"Gentamicin"
"No_FIC","I",10,0.982318271119843,"Gentamicin"
"No_FIC","R",57,5.5992141453831,"Gentamicin"
"No_FIC","S",754,74.0667976424361,"Gentamicin"
"FIC","R",35,3.43811394891945,"AmoxiClav"
"FIC","S",162,15.9135559921415,"AmoxiClav"
"No_FIC","R",259,25.4420432220039,"AmoxiClav"
"No_FIC","S",562,55.2062868369352,"AmoxiClav"
