"accession","Plasmid","phylogroup.x","res_sus.x","clustersize.x","lastresistantparent.x","sample.x","Drug","phylogroup.y","res_sus.y","clustersize.y","lastresistantparent.y","sample.y"
"ERR434265","FIA","B2","res",152,1772,748,"Cefuroxime","B2","sus",51,1165,493
"ERR434265","FIA","B2","res",152,1772,748,"Gentamicin","B2","sus",1,501,493
"ERR434265","FIA","B2","res",152,1772,748,"Ceftazidime","B2","sus",2,1184,493
"ERR434265","FIA","B2","res",152,1772,748,"Ceftazidime","B2","sus",1,498,493
"ERR434265","FIA","B2","res",152,1772,748,"Ciprofloxacin","B2","res",90,1164,493
"ERR434269","FIA","B2","res",152,1772,833,"Ciprofloxacin","B2","res",90,1164,544
"ERR434269","FIA","B2","res",152,1772,833,"Gentamicin","B2","sus",2,1223,544
"ERR434269","FIA","B2","res",152,1772,833,"Cefuroxime","B2","sus",51,1165,544
"ERR434269","FIA","B2","res",152,1772,833,"AmoxiClav","B2","res",61,1160,544
"ERR434269","FIA","B2","res",152,1772,833,"PipTaz","B2","sus",2,1224,544
"ERR434271","FIA","B2","res",152,1772,839,"Ciprofloxacin","B2","res",90,1164,549
"ERR434271","FIA","B2","res",152,1772,839,"AmoxiClav","B2","res",1,549,549
"ERR434271","FIA","B2","res",152,1772,839,"Gentamicin","B2","sus",1,550,549
"ERR434271","FIA","B2","res",152,1772,839,"AmoxiClav","B2","res",61,1160,549
"ERR434276","FIB","B2","res",120,1020,971,"AmoxiClav","B2","sus",1,635,633
"ERR434276","FIC","B2","res",33,1992,971,"AmoxiClav","B2","sus",1,635,633
"ERR434277","FIB","B2","res",120,1020,220,"Cefuroxime","B2","sus",1,302,160
"ERR434277","FIB","B2","res",15,1260,220,"Cefuroxime","B2","sus",1,302,160
"ERR434280","FIC","B2","sus",1,818,817,"Ceftazidime","B2","sus",1,534,533
"ERR434280","FIC","B2","sus",1,818,817,"Ciprofloxacin","B2","res",90,1164,533
"ERR434280","FIC","B2","sus",1,818,817,"Gentamicin","B2","sus",1,534,533
"ERR434280","FIC","B2","sus",1,818,817,"PipTaz","B2","sus",1,535,533
"ERR434280","FIC","B2","sus",1,818,817,"PipTaz","B2","sus",1,540,533
"ERR434280","FIC","B2","sus",1,818,817,"Cefuroxime","B2","res",51,1165,533
"ERR434280","FIC","B2","sus",1,819,817,"Ceftazidime","B2","sus",1,534,533
"ERR434280","FIC","B2","sus",1,819,817,"Ciprofloxacin","B2","res",90,1164,533
"ERR434280","FIC","B2","sus",1,819,817,"Gentamicin","B2","sus",1,534,533
"ERR434280","FIC","B2","sus",1,819,817,"PipTaz","B2","sus",1,535,533
"ERR434280","FIC","B2","sus",1,819,817,"PipTaz","B2","sus",1,540,533
"ERR434280","FIC","B2","sus",1,819,817,"Cefuroxime","B2","res",51,1165,533
"ERR434280","FIA","B2","res",152,1772,817,"Ceftazidime","B2","sus",1,534,533
"ERR434280","FIA","B2","res",152,1772,817,"Ciprofloxacin","B2","res",90,1164,533
"ERR434280","FIA","B2","res",152,1772,817,"Gentamicin","B2","sus",1,534,533
"ERR434280","FIA","B2","res",152,1772,817,"PipTaz","B2","sus",1,535,533
"ERR434280","FIA","B2","res",152,1772,817,"PipTaz","B2","sus",1,540,533
"ERR434280","FIA","B2","res",152,1772,817,"Cefuroxime","B2","res",51,1165,533
"ERR434280","FIB","B2","res",3,1856,817,"Ceftazidime","B2","sus",1,534,533
"ERR434280","FIB","B2","res",3,1856,817,"Ciprofloxacin","B2","res",90,1164,533
"ERR434280","FIB","B2","res",3,1856,817,"Gentamicin","B2","sus",1,534,533
"ERR434280","FIB","B2","res",3,1856,817,"PipTaz","B2","sus",1,535,533
"ERR434280","FIB","B2","res",3,1856,817,"PipTaz","B2","sus",1,540,533
"ERR434280","FIB","B2","res",3,1856,817,"Cefuroxime","B2","res",51,1165,533
"ERR434280","FIB","B2","res",120,1020,817,"Ceftazidime","B2","sus",1,534,533
"ERR434280","FIB","B2","res",120,1020,817,"Ciprofloxacin","B2","res",90,1164,533
"ERR434280","FIB","B2","res",120,1020,817,"Gentamicin","B2","sus",1,534,533
"ERR434280","FIB","B2","res",120,1020,817,"PipTaz","B2","sus",1,535,533
"ERR434280","FIB","B2","res",120,1020,817,"PipTaz","B2","sus",1,540,533
"ERR434280","FIB","B2","res",120,1020,817,"Cefuroxime","B2","res",51,1165,533
"ERR434282","FIB","B2","res",3,1856,818,"PipTaz","B2","sus",1,540,534
"ERR434282","FIB","B2","res",3,1856,818,"AmoxiClav","B2","res",61,1160,534
"ERR434282","FIB","B2","res",3,1856,818,"Cefuroxime","B2","res",51,1165,534
"ERR434282","FIB","B2","res",3,1856,818,"Ceftazidime","B2","res",1,534,534
"ERR434282","FIB","B2","res",3,1856,818,"Ceftazidime","B2","res",22,1167,534
"ERR434282","FIB","B2","res",3,1856,818,"Gentamicin","B2","res",1,534,534
"ERR434282","FIB","B2","res",3,1856,818,"PipTaz","B2","sus",1,535,534
"ERR434282","FIB","B2","res",3,1856,818,"Ciprofloxacin","B2","res",90,1164,534
"ERR434282","FIB","B2","res",120,1020,818,"PipTaz","B2","sus",1,540,534
"ERR434282","FIB","B2","res",120,1020,818,"AmoxiClav","B2","res",61,1160,534
"ERR434282","FIB","B2","res",120,1020,818,"Cefuroxime","B2","res",51,1165,534
"ERR434282","FIB","B2","res",120,1020,818,"Ceftazidime","B2","res",1,534,534
"ERR434282","FIB","B2","res",120,1020,818,"Ceftazidime","B2","res",22,1167,534
"ERR434282","FIB","B2","res",120,1020,818,"Gentamicin","B2","res",1,534,534
"ERR434282","FIB","B2","res",120,1020,818,"PipTaz","B2","sus",1,535,534
"ERR434282","FIB","B2","res",120,1020,818,"Ciprofloxacin","B2","res",90,1164,534
"ERR434286","FIA","B2","res",2,1975,950,"PipTaz","B2","sus",1,620,618
