Accession,FIA,FIB,FIC,AmoxiClav,Amoxicillin,Ceftazidime,Ciprofloxacin,Cefotaxime,Cefuroxime,Gentamicin,PipTaz
ERR434263,No_FIA,FIB,FIC,S,S,S,S,S,S,R,S
ERR434267,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434268,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434279,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434292,No_FIA,FIB,FIC,R,R,S,R,S,S,S,S
ERR434300,No_FIA,FIB,No_FIC,R,R,S,S,S,S,S,R
ERR434328,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434343,FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434351,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434353,No_FIA,No_FIB,FIC,R,R,S,S,S,S,S,R
ERR434355,No_FIA,FIB,FIC,S,S,S,R,S,S,S,S
ERR434358,No_FIA,FIB,No_FIC,S,S,S,R,S,S,S,S
ERR434393,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434453,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434459,No_FIA,FIB,FIC,S,S,S,R,S,S,S,S
ERR434491,FIA,FIB,No_FIC,R,R,S,R,S,S,R,S
ERR434496,FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR434535,FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR434541,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434552,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434596,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434651,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434663,No_FIA,FIB,No_FIC,R,S,S,S,S,S,S,I
ERR434665,No_FIA,No_FIB,No_FIC,R,S,S,R,S,S,S,S
ERR434668,No_FIA,FIB,No_FIC,S,R,S,R,S,S,S,S
ERR434675,FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR434698,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434783,No_FIA,FIB,No_FIC,R,S,S,R,S,S,S,S
ERR434801,No_FIA,No_FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434841,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434886,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434892,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,I
ERR434930,FIA,FIB,No_FIC,R,R,R,R,I,R,S,S
ERR434955,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434962,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434970,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434981,No_FIA,No_FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435021,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435074,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435080,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435175,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435205,FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435243,No_FIA,No_FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435251,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435254,No_FIA,No_FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435338,No_FIA,No_FIB,No_FIC,S,R,S,R,S,R,S,S
ERR435362,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435364,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435443,No_FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR435482,No_FIA,No_FIB,No_FIC,R,R,R,S,R,R,S,S
ERR435498,No_FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR435534,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435536,FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435553,FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR439541,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR439545,FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR439547,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR439577,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR439582,No_FIA,FIB,FIC,S,R,S,S,S,S,R,S
ERR439583,No_FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR439587,FIA,FIB,No_FIC,R,R,S,R,S,R,S,R
ERR439593,No_FIA,FIB,FIC,R,R,S,S,S,R,S,R
ERR439599,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR439617,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR439620,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR439680,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR439694,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR439700,No_FIA,FIB,No_FIC,S,S,S,S,S,S,R,S
ERR439705,No_FIA,No_FIB,No_FIC,R,R,I,S,S,R,S,I
